FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-74 0 GSO-128 OT 0 1.0 0.0 0.0 0.0 -1 0.71296 0.8633 4.0
0 GSO-74 0 GSO-116 OT 0 0.693 0.2434 0.0636 0.1853 -1 0.756725 0.2919 1.5
0 GSO-74 0 GSO-92 OT 0 1.0 0.0 0.0 0.0 -1 0.745142 0.0929 1.0
0 GSO-74 0 GSO-139 OT 0 0.8913 0.0541 0.0546 0.0816 -1 0.73329 0.2919 1.5
0 GSO-74 0 GSO-123 OT 0 0.8736 0.0414 0.085 0.1057 -1 0.740669 0.5 2.0
0 GSO-74 0 GSO-97 OT 0 1.0 0.0 0.0 0.0 -1 0.694455 0.5 2.0
0 GSO-74 0 GSO-138 OT 0 1.0 0.0 0.0 0.0 -1 0.703926 0.8633 4.0
0 GSO-74 0 GSO-31 OT 0 1.0 0.0 0.0 0.0 -1 0.70691 0.5 2.0
0 GSO-74 0 GSO-15 OT 0 1.0 0.0 0.0 0.0 -1 0.74722 0.9498 6.5
0 GSO-74 0 GSO-59 OT 0 1.0 0.0 0.0 0.0 -1 0.708194 0.0502 0.875
0 GSO-74 0 GSO-58 OT 0 1.0 0.0 0.0 0.0 -1 0.745185 0.2919 1.5
0 GSO-74 0 GSO-12 OT 0 1.0 0.0 0.0 0.0 -1 0.683198 0.7081 2.75
0 GSO-74 0 GSO-26 OT 0 1.0 0.0 0.0 0.0 -1 0.716944 0.7081 2.75
0 GSO-74 0 GSO-86 OT 0 1.0 0.0 0.0 0.0 -1 0.73169 0.5 2.0
0 GSO-74 0 GSO-94 OT 0 1.0 0.0 0.0 0.0 -1 0.706577 0.5 2.0
0 GSO-74 0 GSO-19 OT 0 1.0 0.0 0.0 0.0 -1 0.680893 0.5 2.0
0 GSO-74 0 GSO-63 OT 0 1.0 0.0 0.0 0.0 -1 0.731738 0.7081 2.75
0 GSO-7 0 GSO-136 OT 0 1.0 0.0 0.0 0.0 -1 0.695519 0.2919 1.5
0 GSO-7 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.710603 0.2919 1.5
0 GSO-7 0 GSO-38 OT 0 1.0 0.0 0.0 0.0 -1 0.66485 0.7081 2.75
0 GSO-7 0 GSO-111 OT 0 1.0 0.0 0.0 0.0 -1 0.728087 0.1367 1.1429
0 GSO-7 0 GSO-20 OT 0 1.0 0.0 0.0 0.0 -1 0.713688 0.1367 1.1429
0 GSO-7 0 GSO-28 OT 0 0.846 0.1082 0.0458 0.0999 -1 0.736726 0.7081 2.75
0 GSO-7 0 GSO-115 OT 0 1.0 0.0 0.0 0.0 -1 0.67925 0.0502 0.875
0 GSO-7 0 GSO-125 OT 0 1.0 0.0 0.0 0.0 -1 0.665654 0.2919 1.5
0 GSO-7 0 GSO-87 OT 0 1.0 0.0 0.0 0.0 -1 0.665069 0.0502 0.875
0 GSO-7 0 GSO-120 OT 0 1.0 0.0 0.0 0.0 -1 0.714828 0.0502 0.875
0 GSO-7 0 GSO-141 OT 0 0.4245 0.4491 0.1264 0.351 -1 0.797486 0.8633 4.0
0 GSO-7 0 GSO-2 OT 0 1.0 0.0 0.0 0.0 -1 0.687871 0.0142 0.6667
0 GSO-7 0 GSO-45 OT 0 1.0 0.0 0.0 0.0 -1 0.668447 0.1367 1.1429
0 GSO-7 0 GSO-18 OT 0 1.0 0.0 0.0 0.0 -1 0.669528 0.8633 4.0
0 GSO-7 0 GSO-22 OT 0 0.983 0.0 0.017 0.017 -1 0.714824 0.1367 1.1429
0 GSO-7 0 GSO-78 OT 0 1.0 0.0 0.0 0.0 -1 0.706058 0.0142 0.6667
0 GSO-7 0 GSO-65 OT 0 1.0 0.0 0.0 0.0 -1 0.660135 0.2919 1.5
0 GSO-7 0 GSO-128 OT 0 1.0 0.0 0.0 0.0 -1 0.703952 0.5 2.0
0 GSO-7 0 GSO-116 OT 0 0.7334 0.2064 0.0602 0.1634 -1 0.75168 0.2919 1.5
0 GSO-7 0 GSO-92 OT 0 1.0 0.0 0.0 0.0 -1 0.677405 0.0142 0.6667
0 GSO-7 0 GSO-139 OT 0 1.0 0.0 0.0 0.0 -1 0.692927 0.1367 1.1429
0 GSO-7 0 GSO-123 OT 0 1.0 0.0 0.0 0.0 -1 0.72143 0.1367 1.1429
0 GSO-7 0 GSO-97 OT 0 1.0 0.0 0.0 0.0 -1 0.726658 0.0142 0.6667
0 GSO-7 0 GSO-138 OT 0 1.0 0.0 0.0 0.0 -1 0.694074 0.1367 1.1429
0 GSO-7 0 GSO-31 OT 0 1.0 0.0 0.0 0.0 -1 0.685707 0.1367 1.1429
0 GSO-7 0 GSO-15 OT 0 1.0 0.0 0.0 0.0 -1 0.709043 0.1367 1.1429
0 GSO-7 0 GSO-59 OT 0 1.0 0.0 0.0 0.0 -1 0.679675 0.0502 0.875
0 GSO-7 0 GSO-58 OT 0 1.0 0.0 0.0 0.0 -1 0.686827 0.0502 0.875
0 GSO-7 0 GSO-12 OT 0 1.0 0.0 0.0 0.0 -1 0.679902 0.5 2.0
0 GSO-7 0 GSO-26 OT 0 1.0 0.0 0.0 0.0 -1 0.691982 0.0142 0.6667
0 GSO-7 0 GSO-86 OT 0 0.8057 0.1629 0.0314 0.1128 -1 0.738579 0.2919 1.5
0 GSO-7 0 GSO-94 OT 0 1.0 0.0 0.0 0.0 -1 0.692122 0.2919 1.5
0 GSO-7 0 GSO-19 OT 0 0.8405 0.0 0.1595 0.1595 -1 0.749157 0.5 2.0
0 GSO-7 0 GSO-63 OT 0 1.0 0.0 0.0 0.0 -1 0.675263 0.0502 0.875
0 GSO-136 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.701722 0.0502 0.875
0 GSO-136 0 GSO-38 OT 0 1.0 0.0 0.0 0.0 -1 0.706617 0.2919 1.5
0 GSO-136 0 GSO-111 OT 0 1.0 0.0 0.0 0.0 -1 0.706669 0.2919 1.5
0 GSO-136 0 GSO-20 OT 0 0.9518 0.0 0.0482 0.0482 -1 0.724394 0.1367 1.1429
0 GSO-136 0 GSO-28 OT 0 1.0 0.0 0.0 0.0 -1 0.675267 0.1367 1.1429
0 GSO-136 0 GSO-115 OT 0 1.0 0.0 0.0 0.0 -1 0.697931 0.0142 0.6667
0 GSO-136 0 GSO-125 OT 0 1.0 0.0 0.0 0.0 -1 0.687266 0.1367 1.1429
0 GSO-136 0 GSO-87 OT 0 1.0 0.0 0.0 0.0 -1 0.717935 0.0142 0.6667
0 GSO-136 0 GSO-120 OT 0 1.0 0.0 0.0 0.0 -1 0.705266 0.1367 1.1429
0 GSO-136 0 GSO-141 OT 0 1.0 0.0 0.0 0.0 -1 0.704337 0.7081 2.75
0 GSO-136 0 GSO-2 OT 0 1.0 0.0 0.0 0.0 -1 0.720684 0.0031 0.5
0 GSO-136 0 GSO-45 OT 0 0.8841 0.0661 0.0498 0.0829 -1 0.733249 0.0031 0.5
0 GSO-136 0 GSO-18 OT 0 1.0 0.0 0.0 0.0 -1 0.713323 0.2919 1.5
